Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0114456002032853,0.00044214967050743,-0.0831227647190827,0,0,0,0.260196340608176,0.000326008679817151,-3.84797650235212E-08,-7.69287594864853E-06,0.000195511652156139,-1.62212424556228E-07,0.000180867390041299,0,0,0,0,0,0,package://dummy_robot_extended/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/base_link.STL,,Body-1,head_cord,head_axis,head_joint,revolute,0.01675,-0.0005,0.087118,0,0,0,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
left_shoulder,-0.000267055592166332,0.0230669604639234,0.000379419137443243,0,0,0,0.0128889679798794,1.00272992372961E-05,3.68036515300264E-08,3.29258822035904E-06,7.84069861455249E-06,-5.22887745784316E-08,7.66685637407293E-06,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_shoulder.STL,,connector-1,l_shoulder_cord,l_shoulder_axis,left_shoulder_joint,revolute,-0.000750000000267759,0.0754000000000309,-0.0371499999997621,0,0,0,base_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
left_arm,-0.00901040884734722,-0.0292648416202836,-0.0411656315874486,0,0,0,0.0906636811836613,2.66946654006987E-05,-7.21048930808651E-06,-4.89417393205089E-06,2.26962075631961E-05,-5.38559653910257E-06,2.78653670108776E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_arm.STL,,servo_with_cover-2/servo-1;arm_2-1;servo_with_cover-2/servo_cover_1-1;servo_with_cover-1/servo-1;servo_with_cover-1/servo_cover_1-1,l_arm_cord,l_arm_axis,left_arm_joint,revolute,-0.0143893870315593,0.0314999999999043,0.0204437164138645,0,0,0,left_shoulder,0.575575481313768,0,-0.817748656562898,100,100,-3.14,3.14,,,,,,,,
left_hand,0.00926953043204004,-0.0175035032125321,0.0167581504693806,0,0,0,0.0128889679798793,8.04915029040294E-06,2.56910366281578E-06,4.28322301246378E-07,9.04284361743252E-06,2.35405866119389E-06,8.442860318086E-06,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_hand.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_hand.STL,,connector-4,l_hand_cord,l_hand_axis,left_hand_joint,revolute,-0.0456398167904777,-0.0367351374586254,-0.0717447335992556,0,0,0,left_arm,0.597764807797537,-0.68238985415755,0.420739018278091,100,100,-3.14,3.14,,,,,,,,
right_shoulder,-0.000227246316527041,-0.0230669604641077,-0.000404520312170906,0,0,0,0.0128889679798793,1.06667293317784E-05,-3.1317427918016E-08,-2.9871270712955E-06,7.84069861455248E-06,-5.57480351353983E-08,7.02742627959058E-06,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_shoulder.STL,,connector-2,r_shoulder_cord,r_shoulder_axis,right_shoulder_joint,revolute,-0.000750000000421192,-0.0743999999999774,-0.0371499999999969,0,0,0,base_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
right_arm,0.0193173624439529,-0.0422297541792263,0.0218108920540276,0,0,0,0.0906636811406631,3.09014922729004E-05,2.31482966056736E-06,-3.98788269345402E-08,1.38518824033228E-05,-2.88088366581572E-07,3.25028652759754E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_arm.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_arm.STL,,arm_2-2;servo_with_cover-4/servo-1;servo_with_cover-4/servo_cover_1-1;servo_with_cover-3/servo-1;servo_with_cover-3/servo_cover_1-1,r_arm_cord,r_arm_axis,right_arm_joint,revolute,-0.0122443989223414,-0.0315000000000904,-0.0217962082710295,0,0,0,right_shoulder,0.489775956951325,0,0.871848330842248,100,100,-3.14,3.14,,,,,,,,
right_hand,-0.0212449416697564,0.00631959271884031,0.0134850890843478,0,0,0,0.0128889679798793,7.06260042882428E-06,-4.75745529013384E-07,2.97000580732724E-06,7.94962284149365E-06,-5.46486994989796E-07,1.05226309556036E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_hand.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/right_hand.STL,,connector-3,r_hand_cord,r_hand_axis,right_hand_joint,revolute,0.049680806457744,-0.0776270739322523,0.00925337032790167,0,0,0,right_arm,-0.86901255442684,-0.0805892448682624,0.48818291024994,100,100,-3.14,3.14,,,,,,,,
left_leg,-0.0232680099277521,0.0282175906810203,-0.0101892784602755,0,0,0,0.0257779359597588,1.7694155611369E-05,5.99717781917331E-08,-2.21813104522882E-08,1.5881997531678E-05,6.06306922118606E-07,1.74935553087961E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_leg.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_leg.STL,,connector-7;connector-8,l_leg_cord,l_leg_axis,left_leg_joint,revolute,-0.00185000000031849,0.0389999999999947,-0.147650000000305,0,0,0,base_link,-1,0,0,100,100,-3.14,3.14,,,,,,,,
left_limb,0.0233879456265386,-0.0398312253914364,-0.0132355225240398,0,0,0,0.0832912984989616,2.16070512725609E-05,6.56785124826937E-06,-2.42985084437334E-06,1.75241790325539E-05,1.97477809862863E-06,2.21303832880313E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_limb.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_limb.STL,,servo_with_cover-7/servo_cover_1-1;servo_with_cover-7/servo-1;arm_1-1;servo_with_cover-9/servo-1;servo_with_cover-9/servo_cover_1-1,l_limb_cord,l_limb_axis,left_limb_joint,revolute,-0.0234999999986766,0.0649466144662508,0.0026338696567966,0,0,0,left_leg,0,-0.346895427756844,-0.937903812872832,100,100,-3.14,3.14,,,,,,,,
left_knee,0.0275710683823259,-0.0196849767136286,-0.0191271015912615,0,0,0,0.0257779359597587,1.59585793174684E-05,6.73598248684522E-07,-1.86694301661025E-07,1.74336300055381E-05,7.06964524034942E-08,1.76774991288364E-05,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_knee.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_robot_extended/meshes/left_knee.STL,,connector-11;connector-13,l_knee_cord,l_knee_axis,left_knee_joint,revolute,0.0467668539947766,-0.0614531824920482,0.0227292263183369,0,0,0,left_limb,0,-0.346895427756846,-0.937903812872831,100,100,-3.14,3.14,,,,,,,,
